sample_name	library_name	pool_name	ploidy	file_name_r1	file_name_r2	adaptor_1	adaptor_2	ref	rgid	rglb	rgpl	rgpu	rgsm
SRR1034250			2	SRR1034250_1.fastq.gz	SRR1034250_2.fastq.gz				Mtruncatula_HM216_SRR1034250		ILLUMINA		Mtruncatula_HM216
SRR1034249			2	SRR1034249_1.fastq.gz	SRR1034249_2.fastq.gz				Mtruncatula_HM215_SRR1034249		ILLUMINA		Mtruncatula_HM215
SRR1034248			2	SRR1034248_1.fastq.gz	SRR1034248_2.fastq.gz				Mtruncatula_HM214_SRR1034248		ILLUMINA		Mtruncatula_HM214
SRR1034247			2	SRR1034247_1.fastq.gz	SRR1034247_2.fastq.gz				Mtruncatula_HM213_SRR1034247		ILLUMINA		Mtruncatula_HM213
SRR1034246			2	SRR1034246_1.fastq.gz	SRR1034246_2.fastq.gz				Mtruncatula_HM212_SRR1034246		ILLUMINA		Mtruncatula_HM212
SRR1034245			2	SRR1034245_1.fastq.gz	SRR1034245_2.fastq.gz				Mtruncatula_HM211_SRR1034245		ILLUMINA		Mtruncatula_HM211
SRR1034244			2	SRR1034244_1.fastq.gz	SRR1034244_2.fastq.gz				Mtruncatula_HM210_SRR1034244		ILLUMINA		Mtruncatula_HM210
SRR1034243			2	SRR1034243_1.fastq.gz	SRR1034243_2.fastq.gz				Mtruncatula_HM010_SRR1034243		ILLUMINA		Mtruncatula_HM010
SRR1034242			2	SRR1034242_1.fastq.gz	SRR1034242_2.fastq.gz				Mtruncatula_HM010_SRR1034242		ILLUMINA		Mtruncatula_HM010
SRR1034241			2	SRR1034241_1.fastq.gz	SRR1034241_2.fastq.gz				Mtruncatula_HM010_SRR1034241		ILLUMINA		Mtruncatula_HM010
SRR1034240			2	SRR1034240_1.fastq.gz	SRR1034240_2.fastq.gz				Mtruncatula_HM010_SRR1034240		ILLUMINA		Mtruncatula_HM010
SRR1034239			2	SRR1034239_1.fastq.gz	SRR1034239_2.fastq.gz				Mtruncatula_HM010_SRR1034239		ILLUMINA		Mtruncatula_HM010
SRR1034238			2	SRR1034238_1.fastq.gz	SRR1034238_2.fastq.gz				Mtruncatula_HM209_SRR1034238		ILLUMINA		Mtruncatula_HM209
SRR1034237			2	SRR1034237_1.fastq.gz	SRR1034237_2.fastq.gz				Mtruncatula_HM022_SRR1034237		ILLUMINA		Mtruncatula_HM022
SRR1034236			2	SRR1034236_1.fastq.gz	SRR1034236_2.fastq.gz				Mtruncatula_HM022_SRR1034236		ILLUMINA		Mtruncatula_HM022
SRR1034235			2	SRR1034235_1.fastq.gz	SRR1034235_2.fastq.gz				Mtruncatula_HM022_SRR1034235		ILLUMINA		Mtruncatula_HM022
SRR1034234			2	SRR1034234_1.fastq.gz	SRR1034234_2.fastq.gz				Mtruncatula_HM022_SRR1034234		ILLUMINA		Mtruncatula_HM022
SRR1034233			2	SRR1034233_1.fastq.gz	SRR1034233_2.fastq.gz				Mtruncatula_HM022_SRR1034233		ILLUMINA		Mtruncatula_HM022
SRR1034232			2	SRR1034232_1.fastq.gz	SRR1034232_2.fastq.gz				Mtruncatula_HM022_SRR1034232		ILLUMINA		Mtruncatula_HM022
SRR1034231			2	SRR1034231_1.fastq.gz	SRR1034231_2.fastq.gz				Mtruncatula_HM020_SRR1034231		ILLUMINA		Mtruncatula_HM020
SRR1034230			2	SRR1034230_1.fastq.gz	SRR1034230_2.fastq.gz				Mtruncatula_HM020_SRR1034230		ILLUMINA		Mtruncatula_HM020
SRR1034229			2	SRR1034229_1.fastq.gz	SRR1034229_2.fastq.gz				Mtruncatula_HM017_SRR1034229		ILLUMINA		Mtruncatula_HM017
SRR1034228			2	SRR1034228_1.fastq.gz	SRR1034228_2.fastq.gz				Mtruncatula_HM017_SRR1034228		ILLUMINA		Mtruncatula_HM017
SRR1034227			2	SRR1034227_1.fastq.gz	SRR1034227_2.fastq.gz				Mtruncatula_HM017_SRR1034227		ILLUMINA		Mtruncatula_HM017
SRR1034226			2	SRR1034226_1.fastq.gz	SRR1034226_2.fastq.gz				Mtruncatula_HM017_SRR1034226		ILLUMINA		Mtruncatula_HM017
SRR1034225			2	SRR1034225_1.fastq.gz	SRR1034225_2.fastq.gz				Mtruncatula_HM071_SRR1034225		ILLUMINA		Mtruncatula_HM071
SRR1034224			2	SRR1034224_1.fastq.gz	SRR1034224_2.fastq.gz				Mtruncatula_HM065_SRR1034224		ILLUMINA		Mtruncatula_HM065
SRR1034223			2	SRR1034223_1.fastq.gz	SRR1034223_2.fastq.gz				Mtruncatula_HM065_SRR1034223		ILLUMINA		Mtruncatula_HM065
SRR1034222			2	SRR1034222_1.fastq.gz	SRR1034222_2.fastq.gz				Mtruncatula_HM062_SRR1034222		ILLUMINA		Mtruncatula_HM062
SRR1034221			2	SRR1034221_1.fastq.gz	SRR1034221_2.fastq.gz				Mtruncatula_HM045_SRR1034221		ILLUMINA		Mtruncatula_HM045
SRR1034220			2	SRR1034220_1.fastq.gz	SRR1034220_2.fastq.gz				Mtruncatula_HM045_SRR1034220		ILLUMINA		Mtruncatula_HM045
SRR1034219			2	SRR1034219_1.fastq.gz	SRR1034219_2.fastq.gz				Mtruncatula_HM044_SRR1034219		ILLUMINA		Mtruncatula_HM044
SRR1034218			2	SRR1034218_1.fastq.gz	SRR1034218_2.fastq.gz				Mtruncatula_HM044_SRR1034218		ILLUMINA		Mtruncatula_HM044
SRR1034217			2	SRR1034217_1.fastq.gz	SRR1034217_2.fastq.gz				Mtruncatula_HM039_SRR1034217		ILLUMINA		Mtruncatula_HM039
SRR1034216			2	SRR1034216_1.fastq.gz	SRR1034216_2.fastq.gz				Mtruncatula_HM036_SRR1034216		ILLUMINA		Mtruncatula_HM036
SRR1034215			2	SRR1034215_1.fastq.gz	SRR1034215_2.fastq.gz				Mtruncatula_HM036_SRR1034215		ILLUMINA		Mtruncatula_HM036
SRR1034214			2	SRR1034214_1.fastq.gz	SRR1034214_2.fastq.gz				Mtruncatula_HM208_SRR1034214		ILLUMINA		Mtruncatula_HM208
SRR1034213			2	SRR1034213_1.fastq.gz	SRR1034213_2.fastq.gz				Mtruncatula_HM208_SRR1034213		ILLUMINA		Mtruncatula_HM208
SRR1034212			2	SRR1034212_1.fastq.gz	SRR1034212_2.fastq.gz				Mtruncatula_HM207_SRR1034212		ILLUMINA		Mtruncatula_HM207
SRR1034211			2	SRR1034211_1.fastq.gz	SRR1034211_2.fastq.gz				Mtruncatula_HM207_SRR1034211		ILLUMINA		Mtruncatula_HM207
SRR1034210			2	SRR1034210_1.fastq.gz	SRR1034210_2.fastq.gz				Mtruncatula_HM078_SRR1034210		ILLUMINA		Mtruncatula_HM078
SRR1034209			2	SRR1034209_1.fastq.gz	SRR1034209_2.fastq.gz				Mtruncatula_HM078_SRR1034209		ILLUMINA		Mtruncatula_HM078
SRR1034208			2	SRR1034208_1.fastq.gz	SRR1034208_2.fastq.gz				Mtruncatula_HM075_SRR1034208		ILLUMINA		Mtruncatula_HM075
SRR1034207			2	SRR1034207_1.fastq.gz	SRR1034207_2.fastq.gz				Mtruncatula_HM075_SRR1034207		ILLUMINA		Mtruncatula_HM075
SRR1034206			2	SRR1034206_1.fastq.gz	SRR1034206_2.fastq.gz				Mtruncatula_HM064_SRR1034206		ILLUMINA		Mtruncatula_HM064
SRR1034205			2	SRR1034205_1.fastq.gz	SRR1034205_2.fastq.gz				Mtruncatula_HM063_SRR1034205		ILLUMINA		Mtruncatula_HM063
SRR1034204			2	SRR1034204_1.fastq.gz	SRR1034204_2.fastq.gz				Mtruncatula_HM058_SRR1034204		ILLUMINA		Mtruncatula_HM058
SRR1034203			2	SRR1034203_1.fastq.gz	SRR1034203_2.fastq.gz				Mtruncatula_HM041_SRR1034203		ILLUMINA		Mtruncatula_HM041
SRR1034202			2	SRR1034202_1.fastq.gz	SRR1034202_2.fastq.gz				Mtruncatula_HM040_SRR1034202		ILLUMINA		Mtruncatula_HM040
SRR1034201			2	SRR1034201_1.fastq.gz	SRR1034201_2.fastq.gz				Mtruncatula_HM040_SRR1034201		ILLUMINA		Mtruncatula_HM040
SRR1034200			2	SRR1034200_1.fastq.gz	SRR1034200_2.fastq.gz				Mtruncatula_HM038_SRR1034200		ILLUMINA		Mtruncatula_HM038
SRR1034199			2	SRR1034199_1.fastq.gz	SRR1034199_2.fastq.gz				Mtruncatula_HM031_SRR1034199		ILLUMINA		Mtruncatula_HM031
SRR1034198			2	SRR1034198_1.fastq.gz	SRR1034198_2.fastq.gz				Mtruncatula_HM030_SRR1034198		ILLUMINA		Mtruncatula_HM030
SRR1034197			2	SRR1034197_1.fastq.gz	SRR1034197_2.fastq.gz				Mtruncatula_HM030_SRR1034197		ILLUMINA		Mtruncatula_HM030
SRR1034196			2	SRR1034196_1.fastq.gz	SRR1034196_2.fastq.gz				Mtruncatula_HM030_SRR1034196		ILLUMINA		Mtruncatula_HM030
SRR1034195			2	SRR1034195_1.fastq.gz	SRR1034195_2.fastq.gz				Mtruncatula_HM030_SRR1034195		ILLUMINA		Mtruncatula_HM030
SRR1034194			2	SRR1034194_1.fastq.gz	SRR1034194_2.fastq.gz				Mtruncatula_HM030_SRR1034194		ILLUMINA		Mtruncatula_HM030
SRR1034193			2	SRR1034193_1.fastq.gz	SRR1034193_2.fastq.gz				Mtruncatula_HM030_SRR1034193		ILLUMINA		Mtruncatula_HM030
SRR1034192			2	SRR1034192_1.fastq.gz	SRR1034192_2.fastq.gz				Mtruncatula_HM030_SRR1034192		ILLUMINA		Mtruncatula_HM030
SRR1034191			2	SRR1034191_1.fastq.gz	SRR1034191_2.fastq.gz				Mtruncatula_HM021_SRR1034191		ILLUMINA		Mtruncatula_HM021
SRR1034190			2	SRR1034190_1.fastq.gz	SRR1034190_2.fastq.gz				Mtruncatula_HM021_SRR1034190		ILLUMINA		Mtruncatula_HM021
SRR1034189			2	SRR1034189_1.fastq.gz	SRR1034189_2.fastq.gz				Mtruncatula_HM021_SRR1034189		ILLUMINA		Mtruncatula_HM021
