"Supporting Information Table S1 Sampling origins and associated climate variables for genotypes used in this study. Transect and population-within-transect are also given. Also indicated are the samples included in the regression of mean annual temperature on height for comparison with altitudinal transects (Fig. 1c), as well as the samples excluded to assess the effects of possible P. balsamifera introgression on bayescan results. Climate variable abbreviations: MAT, mean annual temperature; MWMT, mean warmest month temperature; MCMT, mean coldest month temperature; TD, temperature differential; MAP, mean annual precipitation; MSP, mean summer precipitation; AHM, annual heat moisture index; SHM, summer heat moisture index; Eref, Hargrave's reference evapotranspiration.",,,,,,,,,,,,,,,,
ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,Eref,Population,Transect,Included in regression of height/MAT for latitudinal transect?,Excluded for testing effects of P. balsamifera introgression?
WH11,50.1394,-122.95188,635,5.3,14.7,-3.5,18.2,1397,299,11,49.2,606,WH,Highway_99,No,No
WH10,50.13893,-122.95164,635,5.3,14.7,-3.5,18.2,1396,299,11,49.2,606,WH,Highway_99,No,No
WH09,50.13839,-122.95199,635,5.3,14.7,-3.5,18.2,1393,298,11,49.2,606,WH,Highway_99,No,No
WH08,50.13712,-122.95326,635,5.3,14.6,-3.6,18.2,1382,298,11,49.2,604,WH,Highway_99,No,No
WH03,50.13318,-122.95045,640,5.2,14.6,-3.6,18.2,1379,299,11,48.7,601,WH,Highway_99,No,No
WH02,50.13297,-122.95291,640,5.1,14.5,-3.7,18.2,1365,297,11.1,48.9,590,WH,Highway_99,No,No
WH01,50.13279,-122.95507,657,5,14.4,-3.8,18.2,1353,296,11.1,48.9,587,WH,Highway_99,No,No
WH00,50.13236,-122.95014,640,5.2,14.5,-3.6,18.2,1378,300,11,48.6,601,WH,Highway_99,No,No
GL01,50.1,-123,366,6.6,15.8,-2.1,17.9,1561,319,10.7,49.5,648,BFGLSQ,Latitude,No,No
SQ06,50.1,-123.366667,177,6.9,16.1,-2.4,18.5,1856,348,9.1,46.2,646,BFGLSQ,Latitude,No,No
BF16,50.06019,-123.09914,504,6.5,15.9,-2.1,18,1779,348,9.3,45.7,613,BF,Highway_99,No,No
BF12,50.05744,-123.09808,504,6.6,16,-2,17.9,1776,348,9.3,45.8,612,BF,Highway_99,No,No
BF11,50.05625,-123.09823,510,6.6,15.9,-2,17.9,1776,348,9.3,45.8,611,BF,Highway_99,No,No
BF10,50.05542,-123.09886,510,6.6,15.9,-2,17.9,1776,348,9.3,45.8,610,BF,Highway_99,Yes,No
BF09,50.05514,-123.09908,510,6.6,15.9,-2,17.9,1777,348,9.3,45.8,610,BF,Highway_99,Yes,No
BF08,50.05426,-123.09958,510,6.6,15.9,-2,17.9,1777,348,9.3,45.7,609,BF,Highway_99,Yes,No
BF07,50.05339,-123.09991,510,6.6,15.9,-2,17.9,1777,348,9.3,45.7,609,BF,Highway_99,Yes,No
BF03,50.05075,-123.09977,510,6.6,15.9,-1.9,17.8,1776,348,9.3,45.8,608,BF,Highway_99,Yes,No
HA00,50.033,-122.533333,213,7.6,18.6,-3.5,22,1407,273,12.5,68,710,SUHABLCRGLSQCBNH,Latitude,Yes,No
NH01,49.967,-121.816667,335,6.7,17.1,-4.4,21.5,1463,313,11.4,54.6,685,SUHABLCRGLSQCBNH,Latitude,Yes,No
SQ05,49.95,-123.3,76,8.3,17.1,0.2,16.9,2350,405,7.8,42.2,628,SUHABLCRGLSQCBNH,Latitude,Yes,No
CB00,49.95,-125.25,76,8.8,16.7,1.8,14.9,1427,268,13.2,62.3,653,SUHABLCRGLSQCBNH,Latitude,Yes,No
GL00,49.867,-122.45,366,6.6,17.3,-3.9,21.2,1844,364,9,47.6,659,SUHABLCRGLSQCBNH,Latitude,Yes,No
SQ00,49.867,-123.233333,61,8.4,16.9,0.6,16.4,2335,388,7.9,43.6,637,SUHABLCRGLSQCBNH,Latitude,Yes,No
CR09,49.84659,-121.1444,349,7.8,18.1,-2.8,21,1804,403,9.8,45,720,CR,Highway_99,Yes,No
CR07,49.84629,-121.14955,330,7.8,18.2,-2.7,20.9,1817,405,9.8,44.9,721,CR,Highway_99,Yes,No
CR06,49.84623,-121.14912,326,7.9,18.2,-2.7,20.9,1817,405,9.8,45,722,CR,Highway_99,Yes,No
CR05,49.84569,-121.14792,349,7.8,18.1,-2.8,20.9,1819,406,9.8,44.7,719,CR,Highway_99,Yes,No
CR04,49.84529,-121.14456,349,7.8,18.1,-2.8,20.9,1815,405,9.8,44.7,720,CR,Highway_99,No,No
CR03,49.84515,-121.14682,349,7.8,18.1,-2.8,20.9,1821,406,9.8,44.6,719,CR,Highway_99,No,No
