Orthogroup,At Genes,Tau Min,Tau Z,At Node Betweenness Max,At Node Betweenness Z,At Node Strength Max,At Node Strength Z,At Node Degree Max,At Node Degree Z,At Node Closeness Max,At Node Closeness Z
OG0009860,PYR4,0.679072426,-0.113590332,26427.25,0.098062605,1719.7774,0.011554342,555,0.047754758,9.75E-06,0.052625772
OG0009861,AT1G27480,0.77379349,-0.552520327,11055.5,-0.974729767,1510.1176,-0.147390413,423,-0.268636259,9.03E-06,-0.819640366
OG0009862,AT4G21770,0.629063361,0.133246611,11318.5,-0.958238026,1700.0524,-0.003040553,539,0.006385195,9.29E-06,-0.584398902
OG0009863,HSA32,0.891276774,-1.011544928,7525.5,-1.25598396,480.9284,-1.119377475,151,-1.129101722,9.03E-06,-0.824756326
OG0009864,AT4G21060,0.643107769,0.058109855,35172.13333,0.700290738,929.4517,-0.598160059,334,-0.496070409,9.82E-06,0.183147619
OG0009865,AT4G20930,0.70341864,-0.228822096,35739.03333,0.734507493,774.6205,-0.745703282,269,-0.689066891,9.52E-06,-0.306028788
OG0009867,INDH,0.472207792,1.074162903,11768.66667,-0.931159653,700.5886,-0.832901057,253,-0.737696845,9.46E-06,-0.387089492
OG0009868,TTN9,0.567974387,0.478912408,32924.78333,0.556136684,1463.3625,-0.183766049,509,-0.057193479,1.00E-05,0.762268034
OG0009870,AT4G17650,0.628533494,0.135632541,44378,1.26405419,1372.1831,-0.259191321,479,-0.133878943,9.97E-06,0.583317228
OG0009872,STN8,0.552420098,0.570513886,36857.13333,0.803579302,2196.9925,0.362300335,696,0.380870465,9.88E-06,0.326165841
OG0009874,EMB2730,0.569029066,0.473615552,50186.96667,1.555425623,3051.8376,0.990497314,939,1.07822897,9.94E-06,0.500545642
OG0009875,RHL2,0.754174397,-0.454851754,24473.5,-0.037103204,1222.7669,-0.366199253,418,-0.282216147,9.44E-06,-0.420740359
OG0009877,AT5G03370,0.579984051,0.410385195,11479.4,-0.949134599,757.8523,-0.763895288,266,-0.698349327,9.46E-06,-0.390696821
OG0009879,HSFA3,0.755511156,-0.459116904,20672.16667,-0.315282321,353.018,-1.369666988,130,-1.258664932,9.08E-06,-0.782343693
OG0009880,AT5G04000,0.962772422,-1.42802796,80657,2.603830791,382.6702,-1.298602023,135,-1.225135909,8.55E-06,-1.15596544
OG0009881,AT5G04420,0.496592913,0.910245452,32736.76667,0.545520712,3718.6896,1.517805011,1135,1.870762757,1.03E-05,2.387096186
OG0009882,NOL,0.564995671,0.498897396,22275,-0.198940155,2092.508,0.290135261,641,0.24851489,9.59E-06,-0.208252858
OG0009883,UBC22,0.473888747,1.061098352,127208.9833,3.378885915,2382.9295,0.504340219,797,0.661946012,1.01E-05,1.396571535
OG0009884,AT5G05200,0.634790711,0.097243882,16626.5,-0.591989901,2066.912,0.27305206,603,0.161544913,9.67E-06,-0.073038052
OG0009885,SYN1,0.870732323,-0.932384528,NA,NA,NA,NA,NA,NA,NA,NA
OG0009886,EMB2771,0.621711622,0.179325816,25378.13333,0.025847541,3163.3458,1.066342594,870,0.878057227,9.76E-06,0.074867377
